date,equity_usd
2011-12-27,6771.602445892891
2011-12-28,6771.602445892891
2011-12-29,6771.602445892891
2011-12-30,6771.602445892891
2012-01-03,6771.602445892891
2012-01-04,6771.602445892891
2012-01-05,6771.602445892891
2012-01-06,6771.602445892891
2012-01-09,6771.602445892891
2012-01-10,6771.602445892891
2012-01-11,6771.602445892891
2012-01-12,6771.602445892891
2012-01-13,6771.602445892891
2012-01-17,6771.602445892891
2012-01-18,6771.602445892891
2012-01-19,6771.602445892891
2012-01-20,6771.602445892891
2012-01-23,6771.602445892891
2012-01-24,6771.602445892891
2012-01-25,6771.602445892891
2012-01-26,6771.602445892891
2012-01-27,6771.602445892891
2012-01-30,6771.602445892891
2012-01-31,6771.602445892891
2012-02-01,6771.602445892891
2012-02-02,6771.602445892891
2012-02-03,6771.602445892891
2012-02-06,6771.602445892891
2012-02-07,6771.602445892891
2012-02-08,6771.602445892891
2012-02-09,6771.602445892891
2012-02-10,6771.602445892891
2012-02-13,6771.602445892891
2012-02-14,6771.602445892891
2012-02-15,6771.602445892891
2012-02-16,6771.602445892891
2012-02-17,6771.602445892891
2012-02-21,6771.602445892891
2012-02-22,6771.602445892891
2012-02-23,6771.602445892891
2012-02-24,6771.602445892891
2012-02-27,6771.602445892891
2012-02-28,6771.602445892891
2012-02-29,6771.602445892891
2012-03-01,6771.602445892891
2012-03-02,6771.602445892891
2012-03-05,6771.602445892891
2012-03-06,6771.602445892891
2012-03-07,7694.102445892891
2012-03-08,8918.602445892891
2012-03-09,8918.602445892891
2012-03-12,8918.602445892891
2012-03-13,8918.602445892891
2012-03-14,8918.602445892891
2012-03-15,8918.602445892891
2012-03-16,8918.602445892891
2012-03-19,8918.602445892891
2012-03-20,8918.602445892891
2012-03-21,8918.602445892891
2012-03-22,8918.602445892891
2012-03-23,8918.602445892891
2012-03-26,8918.602445892891
2012-03-27,8918.602445892891
2012-03-28,8918.602445892891
2012-03-29,8918.602445892891
2012-03-30,8918.602445892891
2012-04-02,8918.602445892891
2012-04-03,8918.602445892891
2012-04-04,8918.602445892891
2012-04-05,8918.602445892891
2012-04-09,8918.602445892891
2012-04-10,8018.602445892891
2012-04-11,8513.602445892891
2012-04-12,10260.602445892891
2012-04-13,10260.602445892891
2012-04-16,10260.602445892891
2012-04-17,10260.602445892891
2012-04-18,10260.602445892891
2012-04-19,10260.602445892891
2012-04-20,10260.602445892891
2012-04-23,10260.602445892891
2012-04-24,9905.602445892891
2012-04-25,11331.602445892891
2012-04-26,11331.602445892891
2012-04-27,11331.602445892891
2012-04-30,11331.602445892891
2012-05-01,11331.602445892891
2012-05-02,11331.602445892891
2012-05-03,11331.602445892891
2012-05-04,11331.602445892891
2012-05-07,11714.102445892891
2012-05-08,11076.602445892891
2012-05-09,10631.602445892891
2012-05-10,10946.602445892891
2012-05-11,10411.602445892891
2012-05-14,9096.602445892891
2012-05-15,8674.102445892891
2012-05-16,7971.602445892891
2012-05-17,5854.102445892891
2012-05-18,4556.102445892891
2012-05-21,7311.102445892891
2012-05-22,7096.102445892891
2012-05-23,7251.102445892891
2012-05-24,7474.602445892891
2012-05-25,7229.602445892891
2012-05-29,7925.602445892891
2012-05-30,7925.602445892891
2012-05-31,7925.602445892891
2012-06-01,7925.602445892891
2012-06-04,8155.602445892891
2012-06-05,9150.602445892891
2012-06-06,11857.602445892891
2012-06-07,11857.602445892891
2012-06-08,11857.602445892891
2012-06-11,11857.602445892891
2012-06-12,11857.602445892891
2012-06-13,11857.602445892891
2012-06-14,11857.602445892891
2012-06-15,11857.602445892891
2012-06-18,11857.602445892891
2012-06-19,11857.602445892891
2012-06-20,11857.602445892891
2012-06-21,11857.602445892891
2012-06-22,11857.602445892891
2012-06-25,11857.602445892891
2012-06-26,11857.602445892891
2012-06-27,11857.602445892891
2012-06-28,11857.602445892891
2012-06-29,11857.602445892891
2012-07-02,11857.602445892891
2012-07-03,11857.602445892891
2012-07-05,11857.602445892891
2012-07-06,11857.602445892891
2012-07-09,11857.602445892891
2012-07-10,11857.602445892891
2012-07-11,11565.102445892891
2012-07-12,10740.102445892891
2012-07-13,12621.102445892891
2012-07-16,12511.102445892891
2012-07-17,12807.102445892891
2012-07-18,12807.102445892891
2012-07-19,12807.102445892891
2012-07-20,12807.102445892891
2012-07-23,12807.102445892891
2012-07-24,12807.102445892891
2012-07-25,13082.102445892891
2012-07-26,14620.602445892891
2012-07-27,15996.602445892891
